水産・農林業,産業
鉱業,産業
建設業,産業
食品料,流通
繊維製品,産業
パルプ・紙,産業
化学,産業
医薬品,産業
石油・石炭製品,産業
ゴム製品,産業
ガラス・土石製品,産業
鉄鋼,産業
非鉄金属,産業
金属製品,産業
機械,産業
電機機器,産業
輸送用機器,産業
精密機器,産業
その他製品,産業
電気・ガス業,産業
陸運業,流通
海運業,流通
空運業,流通
倉庫・運輸業,流通
情報・通信業,流通
卸売業,流通
小売業,流通
銀行業,金融
証券、商品先物取引業,金融
保険業,流通
その他金融業,金融
不動産業,流通
サービス業,流通
文教,公共
官公庁,公共
生活共同組合,流通
認可法人,公共
市区町村,公共
